#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,0,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,108,internal,light,1658926067437
,,1,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,55,external,light,1658926073469
,,2,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,126,internal,light,1658926092548
,,3,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,55,external,light,1658926098538
,,4,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,125,internal,light,1658926147601
,,5,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,56,external,light,1658926153598
,,6,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,127,internal,light,1658926172670
,,7,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,55,external,light,1658926178660
,,8,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,51,internal,light,1658926203800
,,9,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,56,external,light,1658926209774
,,10,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,125,internal,light,1658926228823
,,11,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,57,external,light,1658926234828
,,12,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,126,internal,light,1658926253845
,,13,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,57,external,light,1658926259864
,,14,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,125,internal,light,1658926284979
,,15,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,57,external,light,1658926290890
,,16,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T13:00:00Z,127,internal,light,1658926309977
