#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,0,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,55,external,light,1658926073469
,,1,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,55,external,light,1658926098538
,,2,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,56,external,light,1658926153598
,,3,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,55,external,light,1658926178660
,,4,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,56,external,light,1658926209774
,,5,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,57,external,light,1658926234828
,,6,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,57,external,light,1658926259864
,,7,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,57,external,light,1658926290890
,,8,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,57,external,light,1658926315979
,,9,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926347108
,,10,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926378061
,,11,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926398528
,,12,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926458161
,,13,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926483208
,,14,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926508255
,,15,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926533273
,,16,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,57,external,light,1658926558371
,,17,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,58,external,light,1658926583427
,,18,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,60,external,light,1658926608459
,,19,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T13:00:00Z,49,external,light,1658926633482
,,20,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658928629685
,,21,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,60,external,light,1658928688787
,,22,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,103,external,light,1658928749930
,,23,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,61,external,light,1658928804990
,,24,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658928830033
,,25,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,59,external,light,1658928891065
,,26,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,63,external,light,1658929228543
,,27,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658929253583
,,28,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658929285895
,,29,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658929335617
,,30,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,61,external,light,1658929360670
,,31,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,62,external,light,1658929385726
