#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,0,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,108,internal,light,1658926067437
,,1,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926092548
,,2,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,125,internal,light,1658926147601
,,3,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926172670
,,4,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,51,internal,light,1658926203800
,,5,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,125,internal,light,1658926228823
,,6,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926253845
,,7,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,125,internal,light,1658926284979
,,8,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926309977
,,9,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926335002
,,10,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926366062
,,11,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926392525
,,12,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926416159
,,13,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926477199
,,14,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,126,internal,light,1658926502248
,,15,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926527302
,,16,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926552345
,,17,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926577380
,,18,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926604530
,,19,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T13:00:00Z,127,internal,light,1658926627485
,,20,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,95,internal,light,1658928623683
